Date,User,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-05-25T09:41:22.232Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,69357,1086449,7504,1163310,0.43
2026-05-25T08:41:38.770Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,3611,368178,516,372305,0.13
2026-05-25T08:31:21.806Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,19190,419884,4128,443202,0.16
2026-05-25T08:29:48.501Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,77020,235985,2687,315692,0.13
2026-05-25T08:27:08.083Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,65074,206711,1499,273284,0.11
2026-05-25T08:17:38.878Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,20249,38275,432,58956,0.02
2026-05-25T08:16:25.636Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,6564,255584,1491,263639,0.15
2026-05-25T08:16:14.365Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,43790,142944,747,187481,0.15
2026-05-25T08:11:07.772Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,2037,345853,582,348472,0.12
2026-05-25T08:10:41.022Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,2764,250987,625,254376,0.09
2026-05-25T08:09:20.050Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,3752,446189,1420,451361,0.16
2026-05-25T08:08:41.085Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,3954,153440,905,158299,0.06
2026-05-25T08:08:09.558Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,4148,237554,1898,243600,0.09
2026-05-25T08:07:40.265Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,55847,108365,802,165014,0.07
2026-05-25T08:04:56.806Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,49946,8704,281,58931,0.28
2026-05-25T08:03:58.434Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,50929,197989,3834,252752,0.10
2026-05-25T08:02:19.633Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,76929,485794,3175,565898,0.21
2026-05-25T08:01:23.129Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,60006,1084416,5029,1149451,1.28
2026-05-25T08:00:22.554Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,72785,7680,172,80637,0.39
2026-05-25T07:58:53.987Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,71452,1221,1049,73722,0.04
2026-05-25T07:55:31.614Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,16952,355328,842,373122,0.38
2026-05-25T07:55:18.713Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,463,136480,515,137458,0.07
2026-05-25T07:54:54.770Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,43665,129888,1188,174741,0.15
2026-05-25T07:54:35.373Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,6713,261728,1274,269715,0.15
2026-05-25T07:54:17.202Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,24638,922112,3623,950373,0.93
2026-05-25T07:51:48.735Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,9084,290816,1388,301288,0.31
2026-05-25T07:51:15.611Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,31321,282592,10587,324500,0.27
2026-05-25T07:50:31.967Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,11118,59392,107,70617,0.11
2026-05-25T07:49:29.382Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,27159,171008,1179,199346,0.31
2026-05-25T07:48:29.456Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,33700,360352,2860,396912,0.26
2026-05-25T07:47:44.258Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,17039,249344,1871,268254,0.33
2026-05-25T07:47:40.153Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,0,0,0,0,Free
